Brand--#12                             Description--PAPER BAG            	 Size--PACK 	 STD_QTY--1	 YTD--4
Brand--#2                              Description--PAPER BAG            	 Size--PACK 	 STD_QTY--1	 YTD--0
Brand--#25                             Description--PAPER BAG            	 Size--PACK 	 STD_QTY--1	 YTD--0
Brand--#4                              Description--PAPER BAG            	 Size--PACK 	 STD_QTY--1	 YTD--0
Brand--#6 BAG                          Description--PAPER BAG            	 Size--PACK 	 STD_QTY--1	 YTD--0
Brand--#8                              Description--PAPER BAG            	 Size--     	 STD_QTY--0	 YTD--0
Brand--10 CANEZ                        Description--RUM                  	 Size--750ml	 STD_QTY--1	 YTD--0
Brand--14 HANDS                        Description--RIESLING             	 Size--750ml	 STD_QTY--1	 YTD--0
Brand--14 HANDS                        Description--RED BLEN             	 Size--750ml	 STD_QTY--1	 YTD--2
Brand--14 HANDS                        Description--MOSCATO              	 Size--750ml	 STD_QTY--1	 YTD--0
Brand--1800                            Description--REPOSADO RESERVA     	 Size--750ml	 STD_QTY--1	 YTD--5
Brand--1800                            Description--SILVER               	 Size--.375L	 STD_QTY--1	 YTD--27
Brand--1800                            Description--SILVER               	 Size--750ml	 STD_QTY--1	 YTD--19
Brand--1800                            Description--SILVER               	 Size--1.75L	 STD_QTY--1	 YTD--21
Brand--1800                            Description--REPOSADO RESERVA     	 Size--1.75L	 STD_QTY--1	 YTD--3
Brand--1800                            Description--REPOSADO RESERVA     	 Size--.375L	 STD_QTY--1	 YTD--8
Brand--1800                            Description--COCONUT              	 Size--750ml	 STD_QTY--1	 YTD--8
Brand--1800                            Description--COCONUT              	 Size--.375L	 STD_QTY--1	 YTD--7
Brand--1800                            Description--COCONUT              	 Size--1.75L	 STD_QTY--1	 YTD--4
Brand--1800 MARGARITA/ALC              Description--MARGARITAWITH TEQUILA	 Size--1.75L	 STD_QTY--1	 YTD--9
Brand--1800 MARGARITA/ALC              Description--BLUEBERRY            	 Size--1.75L	 STD_QTY--1	 YTD--10
Brand--1800 MARGARITA/ALC              Description--PEACH                	 Size--1.75L	 STD_QTY--1	 YTD--20
Brand--1800 MARGARITA/ALC              Description--POMEGRANATE          	 Size--1.75L	 STD_QTY--0	 YTD--6
Brand--1800 MARGARITA/ALC              Description--PAINEAPPLE           	 Size--1.75L	 STD_QTY--0	 YTD--14
Brand--1800 SILVER                     Description--100 PF               	 Size--750ml	 STD_QTY--1	 YTD--0
Brand--360 VODKA                       Description--CHOCOLATE DOUBLE     	 Size--750ml	 STD_QTY--1	 YTD--4
Brand--5 HOUR ENERGY                   Description--GRAPE                	 Size--BOTTL	 STD_QTY--1	 YTD--124
Brand--5 HOURS EXTRA STRANGTH          Description--ENERGY DRINK         	 Size--PACK 	 STD_QTY--1	 YTD--92
Brand--7 DEADLY ZIN                    Description--ZINFANDEL            	 Size--750ml	 STD_QTY--1	 YTD--0
Brand--8 HR BUZZ                       Description--ENERGY SHOT          	 Size--PACK 	 STD_QTY--0	 YTD--22
Brand--99                              Description--BANANAS              	 Size--750ml	 STD_QTY--1	 YTD--1
Brand--99                              Description--APPLES               	 Size--750ml	 STD_QTY--1	 YTD--0
Brand--99                              Description--PEACH                	 Size--750ml	 STD_QTY--1	 YTD--1
Brand--99                              Description--BLACKCHERRY          	 Size--750ml	 STD_QTY--1	 YTD--0
Brand--99                              Description--GRAPE                	 Size--750ml	 STD_QTY--1	 YTD--0
Brand--99 APPLES                       Description--APPLE LIQUEUR        	 Size--50 ml	 STD_QTY--1	 YTD--35
Brand--99 BANANAS                      Description--BANANA LIQUEUR       	 Size--50 ml	 STD_QTY--0	 YTD--76
Brand--99 BLACKCHERRY                  Description--BLACKCHERRY LIQUOR   	 Size--50 ml	 STD_QTY--0	 YTD--37
Brand--99 GRAPES                       Description--GRAPE LIQUIOR        	 Size--50 ml	 STD_QTY--0	 YTD--61
Brand--99 PROOF PEACH                  Description--SCHNAPPS             	 Size--50 ml	 STD_QTY--1	 YTD--2
Brand--99 WATERMELONS                  Description--WATERMELON LIQUER    	 Size--50 ml	 STD_QTY--1	 YTD--10
Brand--99 WHIPPE CREAM                 Description--WHIPPE CREAM         	 Size--50 ml	 STD_QTY--1	 YTD--1526
Brand--AALBORG                         Description--AKVAVIT CARAWAY      	 Size--750ml	 STD_QTY--1	 YTD--0
Brand--ABSENTE                         Description--ABSINTHE             	 Size--750ml	 STD_QTY--1	 YTD--2
Brand--ABSENTE GRANDE                  Description--ABSINTHE ORIGINALE   	 Size--750ml	 STD_QTY--1	 YTD--1
Brand--ABSOLUT                         Description--VODKA 80             	 Size--50 ml	 STD_QTY--1	 YTD--302
Brand--ABSOLUT                         Description--VODKA 80             	 Size--.200L	 STD_QTY--1	 YTD--301
Brand--ABSOLUT                         Description--VODKA 80             	 Size--.375L	 STD_QTY--1	 YTD--74
Brand--ABSOLUT                         Description--VODKA 80             	 Size--750ml	 STD_QTY--1	 YTD--53
Brand--ABSOLUT                         Description--PEACH VODKA          	 Size--750ml	 STD_QTY--1	 YTD--14
Brand--ABSOLUT                         Description--RUBY RED VODKA       	 Size--750ml	 STD_QTY--1	 YTD--2
Brand--ABSOLUT                         Description--CITRON VODKA         	 Size--750ml	 STD_QTY--1	 YTD--80
Brand--ABSOLUT                         Description--CITRON VODKA         	 Size--1.75L	 STD_QTY--1	 YTD--7
Brand--ABSOLUT                         Description--PEPPAR VODKA         	 Size--750ml	 STD_QTY--1	 YTD--0
Brand--ABSOLUT                         Description--VANILLA VODKA        	 Size--50 ml	 STD_QTY--1	 YTD--1
Brand--ABSOLUT                         Description--VANILLA VODKA        	 Size--750ml	 STD_QTY--1	 YTD--6
Brand--ABSOLUT                         Description--RASPBERRI VODKA      	 Size--750ml	 STD_QTY--1	 YTD--0
Brand--ABSOLUT                         Description--RASPBERRI VODKA      	 Size--1.75L	 STD_QTY--1	 YTD--4
Brand--ABSOLUT                         Description--MANDRIN VODKA        	 Size--1.75L	 STD_QTY--1	 YTD--1
Brand--ABSOLUT                         Description--VODKA 80             	 Size--1.75L	 STD_QTY--1	 YTD--41
Brand--ABSOLUT                         Description--CITRON VODKA         	 Size--.375L	 STD_QTY--1	 YTD--0
Brand--ABSOLUT                         Description--CITRON VODKA         	 Size--.200L	 STD_QTY--1	 YTD--0
Brand--ABSOLUT                         Description--MANDRIN VODKA        	 Size--750ml	 STD_QTY--1	 YTD--6
Brand--ABSOLUT                         Description--MANDRIN VODKA        	 Size--.375L	 STD_QTY--1	 YTD--0
Brand--ABSOLUT                         Description--MANDRIN VODKA        	 Size--.200L	 STD_QTY--1	 YTD--1
Brand--ABSOLUT                         Description--PEARS VODKA          	 Size--750ml	 STD_QTY--1	 YTD--2
Brand--ABSOLUT                         Description--VODKA 100 BLACK      	 Size--750ml	 STD_QTY--1	 YTD--0
Brand--ABSOLUT                         Description--MANGO VODKA          	 Size--750ml	 STD_QTY--1	 YTD--1
Brand--ABSOLUT                         Description--MANDRIN VODKA        	 Size--50 ml	 STD_QTY--1	 YTD--36
Brand--ABSOLUT                         Description--RUBY RED             	 Size--50 ml	 STD_QTY--1	 YTD--0
Brand--ABSOLUT                         Description--RUBY RED             	 Size--1.75L	 STD_QTY--1	 YTD--2
Brand--ABSOLUT                         Description--BERRI ACAI           	 Size--750ml	 STD_QTY--1	 YTD--4
Brand--ABSOLUT                         Description--WILD TEA             	 Size--750ml	 STD_QTY--1	 YTD--1
Brand--ABSOLUT                         Description--WILD TEA             	 Size--50 ml	 STD_QTY--1	 YTD--200
Brand--ABSOLUT                         Description--ORIENT APPLE         	 Size--50 ml	 STD_QTY--1	 YTD--295
Brand--ABSOLUT                         Description--ORIENT APPLE         	 Size--750ml	 STD_QTY--1	 YTD--1
Brand--ABSOLUT                         Description--GRAPE                	 Size--750ml	 STD_QTY--1	 YTD--2
Brand--ABSOLUT                         Description--GRAPEVINE            	 Size--50 ml	 STD_QTY--1	 YTD--321
Brand--ABSOLUT                         Description--CHERRYCRANBERY       	 Size--750ml	 STD_QTY--1	 YTD--9
Brand--ABSOLUT                         Description--CHERRYKRAN           	 Size--50 ml	 STD_QTY--0	 YTD--312
Brand--ABSOLUT                         Description--HIBISKUS & POMEGRNTE 	 Size--750ml	 STD_QTY--1	 YTD--2
Brand--ABSOLUT                         Description--HIBISKUS & POMEGNATE 	 Size--50 ml	 STD_QTY--1	 YTD--39
Brand--ABSOLUT                         Description--CILANTRO LIME        	 Size--750ml	 STD_QTY--1	 YTD--136
Brand--ABSOLUT                         Description--CILANTRO LIME        	 Size--50 ml	 STD_QTY--1	 YTD--0
Brand--ABSOLUT                         Description--PEACH                	 Size--.375L	 STD_QTY--1	 YTD--0
Brand--AD BOOK MATCHES                 Description--MATCHES BOOK         	 Size--BOX  	 STD_QTY--50	 YTD--23
